DATE,GDP
7/1/2014,17721.657
10/1/2014,17849.912
1/1/2015,17984.178
4/1/2015,18219.405
7/1/2015,18344.713
10/1/2015,18350.825
1/1/2016,18424.283
4/1/2016,18637.253
7/1/2016,18806.743
10/1/2016,18991.883
1/1/2017,19190.431
4/1/2017,19356.649
7/1/2017,19611.704
10/1/2017,19918.91
1/1/2018,20163.159
4/1/2018,20510.177
7/1/2018,20749.752
10/1/2018,20897.804
1/1/2019,21098.827
4/1/2019,21340.267
7/1/2019,21525.819
