DATE,T5YIFR
1/7/2016,1.75
1/8/2016,1.73
1/11/2016,1.71
1/12/2016,1.67
1/13/2016,1.68
1/14/2016,1.66
1/15/2016,1.6
1/18/2016,.
1/19/2016,1.6
1/20/2016,1.54
1/21/2016,1.48
1/22/2016,1.55
1/25/2016,1.53
1/26/2016,1.55
1/27/2016,1.62
1/28/2016,1.64
1/29/2016,1.63
2/1/2016,1.6
2/2/2016,1.58
2/3/2016,1.6
2/4/2016,1.59
2/5/2016,1.59
2/8/2016,1.49
2/9/2016,1.49
2/10/2016,1.47
2/11/2016,1.42
2/12/2016,1.47
2/15/2016,.
2/16/2016,1.47
2/17/2016,1.52
2/18/2016,1.46
2/19/2016,1.46
2/22/2016,1.51
2/23/2016,1.51
2/24/2016,1.57
2/25/2016,1.6
2/26/2016,1.62
2/29/2016,1.61
3/1/2016,1.67
3/2/2016,1.68
3/3/2016,1.7
3/4/2016,1.66
3/7/2016,1.6
3/8/2016,1.59
3/9/2016,1.65
3/10/2016,1.61
3/11/2016,1.67
3/14/2016,1.66
3/15/2016,1.65
3/16/2016,1.71
3/17/2016,1.68
3/18/2016,1.75
3/21/2016,1.78
3/22/2016,1.78
3/23/2016,1.72
3/24/2016,1.72
3/25/2016,.
3/28/2016,1.72
3/29/2016,1.75
3/30/2016,1.78
3/31/2016,1.75
4/1/2016,1.75
4/4/2016,1.8
4/5/2016,1.75
4/6/2016,1.75
4/7/2016,1.75
4/8/2016,1.73
4/11/2016,1.71
4/12/2016,1.75
4/13/2016,1.69
4/14/2016,1.7
4/15/2016,1.7
4/18/2016,1.73
4/19/2016,1.74
4/20/2016,1.75
4/21/2016,1.72
4/22/2016,1.72
4/25/2016,1.74
4/26/2016,1.78
4/27/2016,1.79
4/28/2016,1.83
4/29/2016,1.82
5/2/2016,1.78
5/3/2016,1.74
5/4/2016,1.74
5/5/2016,1.74
5/6/2016,1.71
5/9/2016,1.68
5/10/2016,1.71
5/11/2016,1.65
5/12/2016,1.67
5/13/2016,1.64
5/16/2016,1.67
5/17/2016,1.66
5/18/2016,1.68
5/19/2016,1.61
5/20/2016,1.61
5/23/2016,1.59
5/24/2016,1.59
5/25/2016,1.65
5/26/2016,1.65
5/27/2016,1.65
5/30/2016,.
5/31/2016,1.61
6/1/2016,1.61
6/2/2016,1.6
6/3/2016,1.59
6/6/2016,1.59
6/7/2016,1.63
6/8/2016,1.64
6/9/2016,1.59
6/10/2016,1.55
6/13/2016,1.49
6/14/2016,1.45
6/15/2016,1.47
6/16/2016,1.42
6/17/2016,1.41
6/20/2016,1.43
6/21/2016,1.45
6/22/2016,1.47
6/23/2016,1.53
6/24/2016,1.48
6/27/2016,1.41
6/28/2016,1.42
6/29/2016,1.44
6/30/2016,1.42
7/1/2016,1.43
7/4/2016,.
7/5/2016,1.41
7/6/2016,1.45
7/7/2016,1.45
7/8/2016,1.47
7/11/2016,1.43
7/12/2016,1.46
7/13/2016,1.47
7/14/2016,1.46
7/15/2016,1.54
7/18/2016,1.57
7/19/2016,1.49
7/20/2016,1.52
7/21/2016,1.66
7/22/2016,1.66
7/25/2016,1.66
7/26/2016,1.67
7/27/2016,1.67
7/28/2016,1.71
7/29/2016,1.67
8/1/2016,1.65
8/2/2016,1.63
8/3/2016,1.64
8/4/2016,1.64
8/5/2016,1.67
8/8/2016,1.68
8/9/2016,1.68
8/10/2016,1.61
8/11/2016,1.62
8/12/2016,1.59
8/15/2016,1.6
8/16/2016,1.6
8/17/2016,1.63
8/18/2016,1.62
8/19/2016,1.62
8/22/2016,1.6
8/23/2016,1.62
8/24/2016,1.64
8/25/2016,1.65
8/26/2016,1.63
8/29/2016,1.63
8/30/2016,1.64
8/31/2016,1.67
9/1/2016,1.66
9/2/2016,1.66
9/5/2016,.
9/6/2016,1.69
9/7/2016,1.72
9/8/2016,1.7
9/9/2016,1.68
9/12/2016,1.69
9/13/2016,1.67
9/14/2016,1.68
9/15/2016,1.67
9/16/2016,1.68
9/19/2016,1.65
9/20/2016,1.65
9/21/2016,1.65
9/22/2016,1.7
9/23/2016,1.72
9/26/2016,1.68
9/27/2016,1.66
9/28/2016,1.68
9/29/2016,1.64
9/30/2016,1.75
10/3/2016,1.79
10/4/2016,1.79
10/5/2016,1.76
10/6/2016,1.79
10/7/2016,1.76
10/10/2016,.
10/11/2016,1.77
10/12/2016,1.77
10/13/2016,1.76
10/14/2016,1.81
10/17/2016,1.81
10/18/2016,1.78
10/19/2016,1.8
10/20/2016,1.8
10/21/2016,1.78
10/24/2016,1.79
10/25/2016,1.83
10/26/2016,1.84
10/27/2016,1.87
10/28/2016,1.86
10/31/2016,1.87
11/1/2016,1.85
11/2/2016,1.85
11/3/2016,1.84
11/4/2016,1.84
11/7/2016,1.86
11/8/2016,1.89
11/9/2016,1.97
11/10/2016,2.06
11/11/2016,.
11/14/2016,2.01
11/15/2016,1.97
11/16/2016,2
11/17/2016,2.03
11/18/2016,2.06
11/21/2016,2.08
11/22/2016,2.05
11/23/2016,2.1
11/24/2016,.
11/25/2016,2.04
11/28/2016,2.01
11/29/2016,2.03
11/30/2016,2.11
12/1/2016,2.13
12/2/2016,2.06
12/5/2016,2.09
12/6/2016,2.1
12/7/2016,2.06
12/8/2016,2.07
12/9/2016,2.09
12/12/2016,2.1
12/13/2016,2.04
12/14/2016,2.06
12/15/2016,2.02
12/16/2016,1.97
12/19/2016,1.98
12/20/2016,2
12/21/2016,2.08
12/22/2016,2.04
12/23/2016,2.1
12/26/2016,.
12/27/2016,2.1
12/28/2016,2.05
12/29/2016,2.07
12/30/2016,2.06
1/2/2017,.
1/3/2017,2.1
1/4/2017,2.12
1/5/2017,2.07
1/6/2017,2.08
1/9/2017,2.05
1/10/2017,2.06
1/11/2017,2.13
1/12/2017,2.09
1/13/2017,2.13
1/16/2017,.
1/17/2017,2.1
1/18/2017,2.14
1/19/2017,2.18
1/20/2017,2.16
1/23/2017,2.18
1/24/2017,2.19
1/25/2017,2.2
1/26/2017,2.22
1/27/2017,2.2
1/30/2017,2.19
1/31/2017,2.16
2/1/2017,2.18
2/2/2017,2.17
2/3/2017,2.19
2/6/2017,2.13
2/7/2017,2.13
2/8/2017,2.1
2/9/2017,2.12
2/10/2017,2.15
2/13/2017,2.13
2/14/2017,2.15
2/15/2017,2.19
2/16/2017,2.14
2/17/2017,2.17
2/20/2017,.
2/21/2017,2.19
2/22/2017,2.16
2/23/2017,2.16
2/24/2017,2.1
2/27/2017,2.16
2/28/2017,2.15
3/1/2017,2.22
3/2/2017,2.18
3/3/2017,2.16
3/6/2017,2.12
3/7/2017,2.14
3/8/2017,2.12
3/9/2017,2.11
3/10/2017,2.12
3/13/2017,2.16
3/14/2017,2.1
3/15/2017,2.18
3/16/2017,2.17
3/17/2017,2.13
3/20/2017,2.14
3/21/2017,2.16
3/22/2017,2.15
3/23/2017,2.15
3/24/2017,2.23
3/27/2017,2.19
3/28/2017,2.21
3/29/2017,2.16
3/30/2017,2.11
3/31/2017,2.17
4/3/2017,2.19
4/4/2017,2.15
4/5/2017,2.17
4/6/2017,2.19
4/7/2017,2.18
4/10/2017,2.17
4/11/2017,2.12
4/12/2017,2.11
4/13/2017,2.1
4/14/2017,.
4/17/2017,2.07
4/18/2017,2.05
4/19/2017,2.04
4/20/2017,1.88
4/21/2017,1.89
4/24/2017,1.93
4/25/2017,1.97
4/26/2017,1.97
4/27/2017,2.01
4/28/2017,2.03
5/1/2017,2.04
5/2/2017,1.99
5/3/2017,1.98
5/4/2017,2
5/5/2017,1.97
5/8/2017,1.97
5/9/2017,1.98
5/10/2017,1.92
5/11/2017,1.94
5/12/2017,1.93
5/15/2017,1.9
5/16/2017,1.9
5/17/2017,1.86
5/18/2017,1.88
5/19/2017,1.89
5/22/2017,1.89
5/23/2017,1.89
5/24/2017,1.89
5/25/2017,1.9
5/26/2017,1.89
5/29/2017,.
5/30/2017,1.89
5/31/2017,1.9
6/1/2017,1.89
6/2/2017,1.86
6/5/2017,1.86
6/6/2017,1.83
6/7/2017,1.87
6/8/2017,1.87
6/9/2017,1.88
6/12/2017,1.83
6/13/2017,1.83
6/14/2017,1.83
6/15/2017,1.78
6/16/2017,1.78
6/19/2017,1.78
6/20/2017,1.78
6/21/2017,1.78
6/22/2017,1.81
6/23/2017,1.81
6/26/2017,1.81
6/27/2017,1.8
6/28/2017,1.81
6/29/2017,1.82
6/30/2017,1.83
7/3/2017,1.84
7/4/2017,.
7/5/2017,1.85
7/6/2017,1.86
7/7/2017,1.83
7/10/2017,1.84
7/11/2017,1.89
7/12/2017,1.89
7/13/2017,1.9
7/14/2017,1.9
7/17/2017,1.9
7/18/2017,1.9
7/19/2017,1.87
7/20/2017,1.92
7/21/2017,1.9
7/24/2017,1.94
7/25/2017,1.95
7/26/2017,1.94
7/27/2017,1.98
7/28/2017,1.98
7/31/2017,1.97
8/1/2017,1.96
8/2/2017,1.95
8/3/2017,1.94
8/4/2017,1.95
8/7/2017,1.95
8/8/2017,1.97
8/9/2017,1.94
8/10/2017,1.92
8/11/2017,1.94
8/14/2017,1.95
8/15/2017,1.93
8/16/2017,1.94
8/17/2017,1.93
8/18/2017,1.91
8/21/2017,1.91
8/22/2017,1.93
8/23/2017,1.92
8/24/2017,1.9
8/25/2017,1.93
8/28/2017,1.94
8/29/2017,1.94
8/30/2017,1.95
8/31/2017,1.94
9/1/2017,1.95
9/4/2017,.
9/5/2017,1.96
9/6/2017,1.96
9/7/2017,1.97
9/8/2017,1.99
9/11/2017,2.03
9/12/2017,2.01
9/13/2017,2.02
9/14/2017,2
9/15/2017,1.98
9/18/2017,2
9/19/2017,2
9/20/2017,1.99
9/21/2017,1.96
9/22/2017,1.97
9/25/2017,1.96
9/26/2017,1.96
9/27/2017,2
9/28/2017,2.01
9/29/2017,2
10/2/2017,1.93
10/3/2017,2
10/4/2017,1.97
10/5/2017,1.98
10/6/2017,1.96
10/9/2017,.
10/10/2017,2.01
10/11/2017,2.03
10/12/2017,1.99
10/13/2017,1.99
10/16/2017,2.02
10/17/2017,1.95
10/18/2017,1.99
10/19/2017,2.02
10/20/2017,1.98
10/23/2017,2.03
10/24/2017,2.01
10/25/2017,2.02
10/26/2017,2.02
10/27/2017,2
10/30/2017,1.97
10/31/2017,1.97
11/1/2017,2.05
11/2/2017,1.95
11/3/2017,1.98
11/6/2017,1.95
11/7/2017,1.96
11/8/2017,1.97
11/9/2017,1.94
11/10/2017,1.98
11/13/2017,1.97
11/14/2017,1.95
11/15/2017,1.92
11/16/2017,1.89
11/17/2017,1.97
11/20/2017,1.96
11/21/2017,1.93
11/22/2017,1.93
11/23/2017,.
11/24/2017,1.97
11/27/2017,1.97
11/28/2017,1.99
11/29/2017,1.99
11/30/2017,1.99
12/1/2017,2
12/4/2017,1.98
12/5/2017,2.03
12/6/2017,1.98
12/7/2017,2
12/8/2017,2.05
12/11/2017,2
12/12/2017,2
12/13/2017,2.02
12/14/2017,1.98
12/15/2017,1.99
12/18/2017,2.07
12/19/2017,2.08
12/20/2017,2.1
12/21/2017,2.02
12/22/2017,2.06
12/25/2017,.
12/26/2017,2.12
12/27/2017,2.06
12/28/2017,2.06
12/29/2017,2.06
1/1/2018,.
1/2/2018,2.1
1/3/2018,2.09
1/4/2018,2.1
1/5/2018,2.07
1/8/2018,2.13
1/9/2018,2.11
1/10/2018,2.12
1/11/2018,2.11
1/12/2018,2.1
1/15/2018,.
1/16/2018,2.12
1/17/2018,2.18
1/18/2018,2.11
1/19/2018,2.12
1/22/2018,2.12
1/23/2018,2.2
1/24/2018,2.18
1/25/2018,2.23
1/26/2018,2.25
1/29/2018,2.26
1/30/2018,2.23
1/31/2018,2.24
2/1/2018,2.29
2/2/2018,2.35
2/5/2018,2.25
2/6/2018,2.32
2/7/2018,2.3
2/8/2018,2.29
2/9/2018,2.27
2/12/2018,2.3
2/13/2018,2.22
2/14/2018,2.27
2/15/2018,2.22
2/16/2018,2.18
2/19/2018,.
2/20/2018,2.16
2/21/2018,2.18
2/22/2018,2.16
2/23/2018,2.2
2/26/2018,2.19
2/27/2018,2.17
2/28/2018,2.2
3/1/2018,2.17
3/2/2018,2.21
3/5/2018,2.21
3/6/2018,2.14
3/7/2018,2.16
3/8/2018,2.14
3/9/2018,2.28
3/12/2018,2.18
3/13/2018,2.13
3/14/2018,2.1
3/15/2018,2.09
3/16/2018,2.11
3/19/2018,2.12
3/20/2018,2.11
3/21/2018,2.22
3/22/2018,2.13
3/23/2018,2.13
3/26/2018,2.15
3/27/2018,2.2
3/28/2018,2.19
3/29/2018,2.18
3/30/2018,.
4/2/2018,2.11
4/3/2018,2.17
4/4/2018,2.12
4/5/2018,2.23
4/6/2018,2.13
4/9/2018,2.12
4/10/2018,2.16
4/11/2018,2.16
4/12/2018,2.21
4/13/2018,2.25
4/16/2018,2.16
4/17/2018,2.27
4/18/2018,2.28
4/19/2018,2.22
4/20/2018,2.24
4/23/2018,2.25
4/24/2018,2.24
4/25/2018,2.25
4/26/2018,2.26
4/27/2018,2.25
4/30/2018,2.24
5/1/2018,2.23
5/2/2018,2.25
5/3/2018,2.23
5/4/2018,2.23
5/7/2018,2.23
5/8/2018,2.22
5/9/2018,2.23
5/10/2018,2.22
5/11/2018,2.17
5/14/2018,2.18
5/15/2018,2.21
5/16/2018,2.18
5/17/2018,2.16
5/18/2018,2.16
5/21/2018,2.17
5/22/2018,2.17
5/23/2018,2.16
5/24/2018,2.13
5/25/2018,2.14
5/28/2018,.
5/29/2018,2.1
5/30/2018,2.12
5/31/2018,2.11
6/1/2018,2.12
6/4/2018,2.18
6/5/2018,2.21
6/6/2018,2.22
6/7/2018,2.18
6/8/2018,2.16
6/11/2018,2.18
6/12/2018,2.19
6/13/2018,2.15
6/14/2018,2.17
6/15/2018,2.16
6/18/2018,2.16
6/19/2018,2.17
6/20/2018,2.18
6/21/2018,2.17
6/22/2018,2.17
6/25/2018,2.14
6/26/2018,2.17
6/27/2018,2.15
6/28/2018,2.13
6/29/2018,2.16
7/2/2018,2.21
7/3/2018,2.16
7/4/2018,.
7/5/2018,2.16
7/6/2018,2.16
7/9/2018,2.16
7/10/2018,2.17
7/11/2018,2.15
7/12/2018,2.14
7/13/2018,2.15
7/16/2018,2.15
7/17/2018,2.15
7/18/2018,2.15
7/19/2018,2.17
7/20/2018,2.2
7/23/2018,2.21
7/24/2018,2.22
7/25/2018,2.25
7/26/2018,2.22
