DATE,GFDEGDQ188S
4/1/2014,101.14552
7/1/2014,100.5779
10/1/2014,101.63324
1/1/2015,100.93348
4/1/2015,99.63003
7/1/2015,98.94196
10/1/2015,103.11351
1/1/2016,104.56276
4/1/2016,103.99382
7/1/2016,104.07674
10/1/2016,105.18613
1/1/2017,103.41831
4/1/2017,102.52061
7/1/2017,103.22866
10/1/2017,102.88087
1/1/2018,104.59493
4/1/2018,103.33928
7/1/2018,103.69309
10/1/2018,105.15026
1/1/2019,104.40334
4/1/2019,103.2006
